Year,State_code,State,PassengercarsFata,PassengercarsFataPercent,LightTruckSUVsFata,LightTruckSUVsFataPercent,LTPickupsFata,LTPickupsFataPercent,LTVansFata,LTVansFataPercent,Lighttrucstotal,LighttrucstotalPercent,TotalPassengervehicletypeFata
2016,AL,Alabama,400,53%,163,21%,165,22%,23,3%,360,47%,760
2016,AK,Alaska,16,28%,18,31%,18,31%,6,10%,42,72%,58
2016,AZ,Arizona,261,51%,110,22%,101,20%,31,6%,246,49%,507
2016,AR,Arkansas,183,47%,79,20%,108,27%,20,5%,210,53%,393
2016,CA,California,"1,297",67%,298,15%,265,14%,76,4%,645,33%,"1,942"
2016,CO,Colorado,187,52%,85,23%,66,18%,24,7%,175,48%,362
2016,CT,Connecticut,115,68%,35,21%,10,6%,9,5%,54,32%,169
2016,DC,Delaware,42,58%,14,19%,8,11%,8,11%,31,42%,73
2016,DE,Dist of Columbia,8,67%,4,33%,0,0%,0,0%,4,33%,12
2016,FL,Florida,"1,048",62%,262,15%,289,17%,93,5%,652,38%,"1,700"
2016,GA,Georgia,583,56%,210,20%,216,21%,39,4%,467,44%,"1,050"
2016,HI,Hawaii,40,63%,7,11%,8,13%,3,5%,23,37%,63
2016,ID,Idaho,74,39%,48,25%,60,31%,8,4%,118,61%,192
2016,IL,Illinois,407,58%,150,21%,96,14%,45,6%,297,42%,704
2016,IN,Indiana,329,57%,98,17%,116,20%,33,6%,249,43%,578
2016,IA,Iowa,154,52%,54,18%,54,18%,32,11%,140,48%,294
2016,KS,Kansas,151,48%,64,21%,74,24%,21,7%,161,52%,312
2016,KY,Kentucky,353,60%,88,15%,116,20%,32,5%,236,40%,589
2016,LA,Louisiana,254,52%,74,15%,138,28%,17,3%,233,48%,487
2016,ME,Maine,60,50%,21,17%,31,26%,8,7%,61,50%,121
2016,MD,Maryland,190,66%,47,16%,33,11%,20,7%,100,34%,290
2016,MA,Massachusetts,163,67%,40,17%,22,9%,13,5%,79,33%,242
2016,MI,Michigan,377,57%,140,21%,97,15%,49,7%,287,43%,664
2016,MN,Minnesota,144,57%,52,21%,41,16%,13,5%,107,43%,251
2016,MS,Mississippi,273,50%,111,20%,135,25%,24,4%,275,50%,548
2016,MO,Missouri,368,55%,117,18%,142,21%,39,6%,298,45%,666
2016,MT,Montana,53,36%,41,28%,44,30%,7,5%,93,64%,146
2016,NE,Nebraska,80,48%,29,17%,46,27%,12,7%,88,52%,168
2016,NV,Nevada,87,57%,35,23%,22,14%,7,5%,65,43%,152
2016,NH,New Hampshire,57,59%,14,15%,23,24%,1,1%,39,41%,96
2016,NJ,New Jersey,234,69%,53,16%,32,9%,16,5%,103,31%,337
2016,NM,New Mexico,115,43%,72,27%,73,27%,6,2%,153,57%,268
2016,NY,New York,324,63%,90,17%,70,14%,32,6%,192,37%,516
2016,NC,North Carolina,582,58%,184,18%,177,18%,55,6%,417,42%,999
2016,ND,North Dakota,36,47%,13,17%,25,32%,3,4%,41,53%,77
2016,OH,Ohio,471,63%,135,18%,99,13%,40,5%,278,37%,749
2016,OK,Oklahoma,206,44%,87,19%,143,31%,31,7%,261,56%,467
2016,OR,Oregon,180,53%,68,20%,67,20%,24,7%,160,47%,340
2016,PA,Pennsylvania,494,65%,136,18%,88,12%,37,5%,263,35%,757
2016,RI,Rhode Island,19,63%,6,20%,4,13%,0,0%,11,37%,30
2016,SC,South Carolina,364,58%,118,19%,118,19%,30,5%,269,42%,633
2016,SD,South Dakota,29,36%,21,26%,27,33%,4,5%,52,64%,81
2016,TN,Tennessee,421,57%,146,20%,137,19%,31,4%,315,43%,736
2016,TX,Texas,"1,218",51%,435,18%,634,27%,84,4%,"1,164",49%,"2,382"
2016,UT,Utah,85,49%,43,25%,38,22%,8,5%,89,51%,174
2016,VT,Vermont,28,62%,15,33%,2,4%,0,0%,17,38%,45
2016,VA,Virginia,308,60%,88,17%,82,16%,30,6%,206,40%,514
2016,WA,Washington,192,58%,64,19%,54,16%,19,6%,140,42%,332
2016,WV,West Virginia,85,46%,39,21%,47,25%,14,8%,101,54%,186
2016,WI,Wisconsin,250,58%,85,20%,57,13%,38,9%,181,42%,431
2016,WY,Wyoming,17,24%,26,37%,20,28%,8,11%,54,76%,71
2017,AL,Alabama,395,56%,143,20%,145,20%,27,4%,316,44%,711
2017,AK,Alaska,22,46%,11,23%,13,27%,2,4%,26,54%,48
2017,AZ,Arizona,250,51%,105,21%,111,23%,22,4%,240,49%,490
2017,AR,Arkansas,164,47%,72,21%,97,28%,14,4%,187,53%,351
2017,CA,California,"1,269",64%,336,17%,279,14%,84,4%,705,36%,"1,974"
2017,CO,Colorado,199,49%,104,25%,78,19%,27,7%,211,51%,410
2017,CT,Connecticut,117,72%,25,15%,17,10%,2,1%,45,28%,162
2017,DC,Delaware,44,64%,14,20%,8,12%,3,4%,25,36%,69
2017,DE,Dist of Columbia,12,86%,1,7%,1,7%,0,0%,2,14%,14
2017,FL,Florida,"1,001",61%,306,19%,256,16%,77,5%,641,39%,"1,642"
2017,GA,Georgia,557,53%,217,21%,235,22%,46,4%,500,47%,"1,057"
2017,HI,Hawaii,34,58%,12,20%,10,17%,3,5%,25,42%,59
2017,ID,Idaho,67,38%,52,29%,49,28%,7,4%,111,62%,178
2017,IL,Illinois,434,60%,146,20%,83,12%,56,8%,286,40%,720
2017,IN,Indiana,355,58%,124,20%,90,15%,44,7%,258,42%,613
2017,IA,Iowa,109,49%,42,19%,54,24%,17,8%,113,51%,222
2017,KS,Kansas,157,46%,72,21%,86,25%,28,8%,187,54%,344
2017,KY,Kentucky,326,57%,90,16%,126,22%,32,6%,249,43%,575
2017,LA,Louisiana,254,52%,76,16%,144,30%,14,3%,234,48%,488
